VariableName,Gas:Facility,Electricity:Facility
KeyValue,,
576,535860303.6367202,1099723267.0411155
577,907638558.2876949,1112774434.898951
578,1011762936.8907111,1100411902.5788507
579,1254288750.3313863,1117338751.2866974
580,1258149005.2537751,1151871891.5554223
581,1551085939.7271054,1341770409.9894838
582,6355973184.01351,1560539841.4704971
583,9423725021.782404,1859140851.7251782
584,7514805732.794831,3795244594.410342
585,6751638903.5780735,3660383453.2753334
586,6385742970.271184,3482403834.3873086
587,6026962337.663483,3480557475.0422487
588,5926400339.599967,3300268922.036636
589,5464260018.194177,3478259036.323615
590,4854613216.010183,3476824577.481882
591,4809428327.300913,3476669266.046863
592,5073986111.411064,3683857338.204541
593,5369491418.230788,3431924035.839961
594,5622678430.07916,2714857868.007858
595,5624410269.646088,2626835007.3987093
596,6124595240.4366665,2089451022.53998
597,6249413606.158908,2001773651.0379481
598,39491985.27036134,1261238717.637876
599,226141627.18771228,1113975944.0057118
600,596475309.2329453,1099846641.223038
601,1032172329.8507444,1113068094.3917878
602,1016153362.6597694,1105912811.355678
603,1399771494.1465986,1120693153.5543454
604,1243301675.4063926,1150655553.5440328
605,1627410773.3516035,1343387574.0357022
606,6307615287.635429,1560340850.5353503
607,9501185265.183985,1859707542.7549314
608,7522831240.124967,3795308841.389004
609,6671132947.72454,3659427008.363723
610,5874635583.652587,3479679523.0891323
611,5282044190.354779,3477173416.3357596
612,4988463787.184099,3296503155.256967
613,4376404100.155512,3474370401.3934975
614,4290865926.4717956,3474029324.7771735
615,4190471684.800014,3473822667.4516797
616,4240835503.6761117,3680666509.329552
617,4588025360.392418,3428992602.00258
618,4879698811.410197,2712019677.9931326
619,4933724402.820112,2624152362.6994753
620,5491436789.543088,2086900119.9436595
621,5698781389.396452,1999496927.7099159
622,29805328.131693803,1261230824.7947183
623,296973656.04626894,1128046562.141201
624,686071314.3353075,1099927294.947365
625,1067144181.6187208,1116420661.0979476
626,1168737042.3318524,1106192699.363579
627,1338674154.9539006,1120558475.2237902
628,1456486914.9811518,1151225448.3716583
629,1493999311.4018877,1342967157.4466808
630,6467320044.306549,1561568938.9797611
631,8999419340.80422,1856599241.0087357
632,6537456151.086591,3791310845.3689017
633,5681155424.938203,3656668917.96608
634,5285105112.622784,3478745591.3870077
635,4944016170.1178055,3478258192.388139
636,4683799310.450331,3301092535.566179
637,4222465626.5239105,3481154074.1253114
638,3928975642.404499,3476272532.445301
639,3763164213.701432,3473698896.405636
640,3975277815.3547754,3680785407.2464986
641,4538900423.134595,3429476228.161407
642,4992006972.32234,2712858842.5758543
643,5048789547.228927,2624999420.1871004
644,5497004198.069597,2087471092.1964831
645,5646320449.126848,1999771780.0059698
646,20707609.50648484,1260513370.9741518
647,49541365.54822611,1085657720.741097
648,292036501.9783637,906012293.6316478
649,544031790.9245951,932902485.2570286
650,679350845.9363126,920449774.119015
651,845548532.6132302,933269625.3183651
652,820638898.2140802,964674460.3274611
653,911853678.3807322,1065426200.9983953
654,5661315369.503024,1554745605.1781294
655,6122709178.207855,1485415578.043585
656,4836235917.632448,2347507894.1281395
657,4201570382.3204403,2213766819.5789413
658,3702787795.5301805,2036615532.9253824
659,3394603719.7079663,2035981075.9153297
660,3315602937.1015606,2035762129.8064237
661,3428674134.797208,2035944683.7615905
662,4567897971.181064,1141243921.3119848
663,5019473541.189917,1142425417.0480258
664,5409805240.600397,1350186713.5902395
665,5734887478.052098,1367922530.5770977
666,16640405.513082452,1253255080.3252363
667,60153887.300980546,1171636736.155323
668,489865690.17403746,1238042708.0913014
669,681703166.4642208,1140424576.2963102
670,1057859724.2543626,1066376702.9409173
671,959767250.8255132,971364024.49277
672,1275586515.4576342,939492793.0510546
673,1072786899.237253,927996694.1643299
674,1427328814.896112,940040369.3460163
675,1188035457.5081618,928348696.327416
676,1571106809.6319566,984466524.5496268
677,1384183317.3165562,1060861483.5615852
678,1840092864.7472572,1249374259.6962886
679,1549752693.6183689,1171619634.849799
680,1891436260.5250814,1153089787.2158108
681,1512820538.2886481,1008822284.7987919
682,1742395211.4911673,844618326.899741
683,1246342721.682403,832086663.9937217
684,1290399972.9906788,843585428.9420931
685,1053562473.3718034,831778045.3703439
686,1206414717.1356578,843371533.9468113
687,1035559374.2129519,831750316.6525404
688,1539988148.3963807,1050802509.6499397
689,1578814859.9957917,1325398003.249594
690,2069865126.337362,1338102073.4162743
691,1813931445.456729,1238170722.0179927
692,2308480866.7537975,1250994449.7319982
693,2015076048.9973574,1150879551.2481613
694,2496092620.3993926,1075836079.3762681
695,2165945631.3814573,975487305.0257957
696,2638053356.003343,1123920726.578412
697,2334372667.176375,1111610987.6578064
698,2856497639.328858,1125073918.1277044
699,2528281644.535112,1112606251.1203966
700,3058553689.0261126,1170259840.1110933
701,2674874643.3895946,1335128887.3364844
702,7481211725.035713,1573159103.905088
703,12204997693.249758,1878209522.4972544
704,12107168993.464273,3821174406.583561
705,11693827061.509872,3687409835.679692
706,10877156809.636932,3505855605.4974575
707,10221390320.730717,3502486276.9025345
708,10166816291.286726,3322645208.5371127
709,9255240357.024857,3498742065.6694455
710,8846288910.546326,3496453779.022649
711,8621375598.725351,3495095369.452095
712,8515290577.977212,3701362136.6447787
713,8825362526.619652,3449783012.804199
714,9451139099.107553,2734421906.96274
715,9498331137.657536,2647037943.831777
716,10040738673.947994,2111248199.5176072
717,10105950670.712496,2023904818.270645
718,685634509.9769323,1315154589.9357781
719,1653753911.4433663,1166821979.7986119
720,1844181127.8154547,1107167791.566917
721,1963186429.8155847,1124119743.356995
722,2041060919.2188957,1108080689.7965186
723,2202123185.5383706,1124996723.8418353
724,2195526945.276225,1152788419.1649425
725,2402269471.9639297,1347417743.4926405
726,7469331475.292257,1572272502.8999507
727,12021804915.522608,1878209536.1892388
728,10299415930.06614,3811511310.840049
729,9346532699.080267,3675421228.9222493
730,8587163430.256905,3495226308.869227
731,7950698884.145416,3491378381.602455
732,7705984311.726915,3309454316.0257835
733,6999649217.795944,3485840685.8602543
